[ 6.20226699  7.86515464],2,5
[ 3.26606881  9.82261763],5,1
[  8.97726469  12.03030208],5,9
[ 9.88920845  6.89887104],4,5
[ 9.78204208  5.63760111],4,4
[0 0],9,2
[ 6.0000007   7.39819106],4,8
[ 6.08881307  5.91432763],4,1
[ 12.19323026  16.00937034],5,9
[  6.00003869  14.10166531],9,6
[0 0],9,2
[0 0],9,8
[ 6.24358989 -2.50153472],4,9
[0 0],9,1
[ 6.36646509  5.30237244],2,2
[ 11.09095222  10.55723337],4,5
[ 6.06785044  6.84056509],2,8
[0 0],9,1
[ 7.4742878   7.13829279],3,2
[ 1.09779026  2.35776269],8,6
[ 6.00000006  6.8496887 ],4,5
[0 0],9,9
[ 7.83529065  2.7764614 ],6,8
[ 7.45504403  8.08004948],3,2
[ 6.01307302  6.28526516],3,8
[0 0],9,6
[0 0],9,5
[0 0],9,9
[ 6.03669109  6.05624722],4,8
[ 6.07795568  4.57627069],9,4
[  3.12209742  14.43314019],6,6
[ 6.10530648  6.51903935],2,5
[ 5.78451977  6.31503658],5,4
[0 0],9,9
[0 0],9,1
[0 0],9,8
[ 8.72469455  6.18353903],4,9
[0 0],9,6
[ 8.45472023  6.36351986],6,1
[0 0],9,8
[ 5.95088682  5.55442439],9,4
[ 5.99999724  6.92204481],3,5
[0 0],9,2
[  4.03026678  15.73626586],6,8
[ 5.63183646  6.21217268],4,2
[0 0],9,6
[0 0],9,1
[0 0],9,5
[ 6.11057901  5.90424234],5,8
[ 6.15639528  7.23502163],2,8
[  9.98742025  19.23840069],6,5
[ 6.16616036  6.55343581],3,8
[0 0],9,5
[0 0],9,1
[ 5.99999946  9.02469131],5,4
[ 6.01040892  5.98228172],2,8
[ 6.67056901  8.78741672],5,5
[ 6.80834154  5.49844739],5,2
[ 5.37283622  6.06751438],3,4
[ 5.57240957  5.77989424],2,2
[0 0],9,8
[ 6.00000074  5.81271913],7,6
[  9.48055898  16.34326277],6,1
[  6.06650438  10.20486298],3,8
[0 0],9,5
[ 5.9999975   7.31300104],4,5
[  6.4092742   10.38506831],4,8
[0 0],9,6
[0 0],9,1
[ 4.78007981  4.90255449],5,2
[0 0],9,6
[  7.11696955  15.42606749],6,5
[  5.87260473  10.47911445],5,6
[0 0],9,8
[0 0],9,1
[  6.13331258  10.38608381],5,8
[ 5.8465336   6.03136602],3,2
[ 6.25043768  5.53352273],8,1
[  7.68205357  12.71459697],6,6
[ 2.97644968  2.36271432],6,4
[0 0],9,2
[ 5.99585814  5.76305083],9,1
[  6.4092742   10.38506831],4,8
[0 0],9,6
[0 0],9,1
[ 4.78007981  4.90255449],5,2
[0 0],9,6
[  7.11696955  15.42606749],6,5
[  5.87260473  10.47911445],5,6
[0 0],9,8
[0 0],9,1
[  6.13331258  10.38608381],5,8
[ 5.8465336   6.03136602],3,2
[ 6.25043768  5.53352273],8,1
[  7.68205357  12.71459697],6,6
[ 2.97644968  2.36271432],6,4
[0 0],9,2
[ 5.99585814  5.76305083],9,1
[  5.72127776  11.76424773],4,5
[ 6.90927899  4.59419195],2,1
[ 5.64534567  5.74760923],3,2
[ 5.88101657  5.56353131],9,4
[ 6.46430243  5.69500198],4,2
[ 5.30163988  6.70611999],5,8
[ 5.82206105  6.65066065],2,5
[ 5.48050483  5.29457526],2,5
[ 6.03062278  6.23886268],3,8
[ 5.32283506  6.69982858],3,2
[ 6.43654596  5.98642435],4,1
[ 4.33077021  4.45913966],3,2
[ 6.46869088  8.43761161],4,5
[ 6.47942238  6.03262635],6,8
[ 5.74479375  6.20961818],3,2
[ 6.38782915  5.77619001],9,1
[ 5.9683145  7.282512 ],4,8
[ 5.99999163  7.6083983 ],3,2
[ 5.61213943  5.59724817],3,1
[0 0],9,5
[0 0],9,6
[ 6.01921217  6.09655358],2,5
[ 6.25889441  3.57284524],4,4
[0 0],9,6
[  7.78606184  11.87466142],6,5
[ 5.70097162  9.69388075],4,6
[0 0],9,8
[0 0],9,5
[0 0],9,2


