[0 0],9,6
[ 14.93595275  -1.95732569],6,8
[0 0],9,5
[0 0],9,9
[0 0],9,2
[ 9.47321179  5.68452524],7,1
[0 0],9,4
[0 0],9,6
[0 0],9,5
[0 0],9,2
[ 11.79387     11.12376352],4,2
[0 0],9,6
[0 0],9,9
[0 0],9,5
[ 7.12984549  7.24674195],2,5
[0 0],9,1
[ 5.77776359  6.67980949],3,8
[ 11.274296     2.44173639],3,6
[ 14.26041533   0.22862937],5,8
[0 0],9,5
[0 0],9,6
[0 0],9,9
[0 0],9,1
[ 12.29416959   1.75733296],3,8
[ 8.31831862 -1.68183797],3,4
[ 11.76298105   9.56607114],6,2
[ 6.82230803  5.80645357],5,1
[ 5.6666816 -3.8896306],4,5
[ 11.49199055   2.07651425],5,2
[ 9.14093828  5.50175543],3,1
[0 0],9,8
[0 0],9,6
[ 10.81693198   2.90477653],3,6
[ 6.13177976  6.62382756],5,8
[ 9.3537017   3.73837692],3,1
[0 0],9,6
[ 5.99099868  5.88201349],4,4
[ 6.12992034  6.42967714],4,5
[0 0],9,8
[0 0],9,2
[ 5.26096459  9.47553745],4,4
[0 0],9,6
[0 0],9,1
[ 6.68816357  8.6122708 ],3,5
[0 0],9,8
[ 6.2063511   5.84743951],5,2
[0 0],9,5
[ 11.61995824   2.05442615],4,8
[0 0],9,6
[ 6.33943415  6.49393058],3,1
[ 6.01351955  6.36467953],4,2
[0 0],9,4
[ 9.40399937  3.99999896],4,6
[ 5.84672417  5.79289057],3,4
[0 0],9,6
[  9.36652732  15.02352659],5,1
[0 0],9,5
[  8.85287922  14.93170713],4,6
[0 0],9,4
[0 0],9,6
[0 0],9,1
[ 5.58856764  6.41943625],4,8
[ 6.88545418  6.90528979],4,2
[0 0],9,1
[0 0],9,4
[0 0],9,6
[ 11.34545234   2.36624046],3,6
[0 0],9,1
[0 0],9,4
[ 6.20441013  6.11578381],4,8
[0 0],9,5
[0 0],9,2
[ 6.18088701  6.81256197],3,5
[0 0],9,1
[0 0],9,2
[0 0],9,6
[0 0],9,1
[ 5.93430621  5.55232154],3,1
[0 0],9,5
[ 7.15466262  5.58390784],4,8
[ 5.92050878  6.42610097],3,8
[0 0],9,2
[0 0],9,5
[ 6.04147308  6.30756964],3,8
[ 6.13438729  6.18319593],4,8
[0 0],9,2
[0 0],9,2
[ 7.38789479  8.24012816],4,5
[ 6.13330243  6.02668914],4,2
[0 0],9,8
[ 8.9604054   5.43880178],3,6
[0 0],9,2
[0 0],9,4
[ 6.28754153  5.75553634],3,2
[ 5.80312917  6.11038802],4,5
[ 5.96494824  5.91766819],4,4
[ 5.98591082  6.02989225],3,8
[0 0],9,2
[0 0],9,6
[ 5.94749483  6.10355702],4,2
[ 8.37918926  2.41387357],4,5
[0 0],9,8
[ 11.01384163   3.99999941],3,4
[0 0],9,1
[ -7.3249747   17.76662182],5,8
[0 0],9,5
[ 6.37120159  6.17504885],5,1
[ 9.6051338   5.92493565],6,8
[ 10.60369965   0.93086814],5,5
[0 0],9,6
[0 0],9,4
[ 6.10010784  6.22460385],3,8
[0 0],9,1
[  7.14310063  10.13077664],4,5
[0 0],9,6
[0 0],9,2
[ 6.25528832  5.68972751],4,8
[0 0],9,1
[0 0],9,6
[ 6.16741861  6.27822366],4,8
[ 11.27380411   3.5774909 ],4,6
[0 0],9,2
[ 6.04018037  6.52533862],4,1
[0 0],9,4
[ 10.86462196   2.33022364],3,6
[ 11.46100359   2.20599599],4,6
[ 11.58315591   4.00000069],4,4
[ 10.53630797  18.84533322],5,1
[0 0],9,6
[0 0],9,2
[ 5.75783042  5.86502938],6,2
[0 0],9,4
[0 0],9,1
[0 0],9,1
[0 0],9,6
[0 0],9,1




